"alert__week","alert__year","alert__count","confidence__cat"
38,2014,442,"n"
37,2014,17,"l"
37,2014,512,"n"
37,2014,9,"h"
36,2014,493,"n"
36,2014,6,"h"
36,2014,15,"l"
35,2014,3,"h"
35,2014,128,"n"
35,2014,9,"l"
34,2014,8,"h"
34,2014,10,"l"
34,2014,345,"n"
33,2014,244,"n"
33,2014,9,"l"
33,2014,3,"h"
32,2014,12,"h"
32,2014,824,"n"
32,2014,28,"l"
31,2014,796,"n"
31,2014,5,"h"
31,2014,16,"l"
30,2014,135,"h"
30,2014,2717,"n"
30,2014,57,"l"
29,2014,25,"l"
29,2014,37,"h"
29,2014,1003,"n"
28,2014,3,"l"
28,2014,174,"n"
27,2014,6,"l"
27,2014,8,"h"
27,2014,403,"n"
26,2014,1074,"n"
26,2014,29,"l"
26,2014,29,"h"
25,2014,45,"l"
25,2014,720,"n"
25,2014,25,"h"
24,2014,7,"l"
24,2014,280,"n"
24,2014,3,"h"
23,2014,263,"n"
23,2014,7,"h"
23,2014,6,"l"
22,2014,321,"n"
22,2014,13,"l"
21,2014,4,"h"
21,2014,5,"l"
21,2014,307,"n"
20,2014,406,"n"
20,2014,5,"h"
20,2014,15,"l"
19,2014,613,"n"
19,2014,7,"l"
19,2014,8,"h"
18,2014,12,"h"
18,2014,31,"l"
18,2014,601,"n"
17,2014,705,"n"
17,2014,16,"l"
17,2014,10,"h"
16,2014,26,"l"
16,2014,26,"h"
16,2014,918,"n"
15,2014,26,"h"
15,2014,82,"l"
15,2014,790,"n"
14,2014,7,"l"
14,2014,281,"n"
14,2014,2,"h"
13,2014,106,"l"
13,2014,35,"h"
13,2014,1130,"n"
12,2014,82,"l"
12,2014,790,"n"
12,2014,15,"h"
11,2014,4452,"n"
11,2014,329,"l"
11,2014,177,"h"
10,2014,4347,"n"
10,2014,228,"h"
10,2014,271,"l"
9,2014,70,"h"
9,2014,244,"l"
9,2014,2650,"n"
8,2014,1088,"n"
8,2014,66,"l"
